upstream_length,downstream_length,mse,r2
19,38,1.0882967015391636,0.5418319394412955
70,38,1.0882967015391636,0.5418319394412955
28,38,1.0882967015391636,0.5418319394412955
51,38,1.0882967015391636,0.5418319394412955
4,38,1.0882967015391636,0.5418319394412955
39,38,1.0882967015391636,0.5418319394412955
22,38,1.0882967015391636,0.5418319394412955
60,38,1.0882967015391636,0.5418319394412955
9,38,1.0882967015391636,0.5418319394412955
57,38,1.0882967015391636,0.5418319394412955
48,38,1.0882967015391636,0.5418319394412955
72,38,1.0882967015391636,0.5418319394412955
62,38,1.0882967015391636,0.5418319394412955
55,38,1.0882967015391636,0.5418319394412955
34,38,1.0882967015391636,0.5418319394412955
11,38,1.0882967015391636,0.5418319394412955
16,38,1.0882967015391636,0.5418319394412955
66,38,1.0882967015391636,0.5418319394412955
18,38,1.0882967015391636,0.5418319394412955
52,38,1.0882967015391636,0.5418319394412955
27,38,1.0882967015391636,0.5418319394412955
3,38,1.0882967015391636,0.5418319394412955
42,38,1.0882967015391636,0.5418319394412955
61,38,1.0882967015391636,0.5418319394412955
37,38,1.0882967015391636,0.5418319394412955
50,38,1.0882967015391636,0.5418319394412955
53,38,1.0882967015391636,0.5418319394412955
30,38,1.0882967015391636,0.5418319394412955
65,38,1.0882967015391636,0.5418319394412955
23,38,1.0882967015391636,0.5418319394412955
56,38,1.0882967015391636,0.5418319394412955
33,38,1.0882967015391636,0.5418319394412955
45,38,1.0882967015391636,0.5418319394412955
5,38,1.0882967015391636,0.5418319394412955
47,38,1.0882967015391636,0.5418319394412955
64,38,1.0882967015391636,0.5418319394412955
21,38,1.0882967015391636,0.5418319394412955
0,38,1.0882967015391636,0.5418319394412955
15,38,1.0882967015391636,0.5418319394412955
43,38,1.0882967015391636,0.5418319394412955
41,38,1.0882967015391636,0.5418319394412955
24,38,1.0882967015391636,0.5418319394412955
67,38,1.0882967015391636,0.5418319394412955
49,38,1.0882967015391636,0.5418319394412955
6,38,1.0882967015391636,0.5418319394412955
10,38,1.0882967015391636,0.5418319394412955
69,38,1.0882967015391636,0.5418319394412955
2,38,1.0882967015391636,0.5418319394412955
31,38,1.0882967015391636,0.5418319394412955
35,38,1.0882967015391636,0.5418319394412955
54,38,1.0882967015391636,0.5418319394412955
1,38,1.0882967015391636,0.5418319394412955
25,38,1.0882967015391636,0.5418319394412955
40,38,1.0882967015391636,0.5418319394412955
46,38,1.0882967015391636,0.5418319394412955
17,38,1.0882967015391636,0.5418319394412955
71,38,1.0882967015391636,0.5418319394412955
63,38,1.0882967015391636,0.5418319394412955
38,38,1.0882967015391636,0.5418319394412955
14,38,1.0882967015391636,0.5418319394412955
7,38,1.0882967015391636,0.5418319394412955
29,38,1.0882967015391636,0.5418319394412955
8,38,1.0882967015391636,0.5418319394412955
32,38,1.0882967015391636,0.5418319394412955
20,38,1.0882967015391636,0.5418319394412955
59,38,1.0882967015391636,0.5418319394412955
68,38,1.0882967015391636,0.5418319394412955
81,27,1.08792752419781,0.541987361456497
73,38,1.0876268885561344,0.5421139277216399
67,27,1.0869774641322734,0.542387332509451
83,27,1.0868923896992362,0.5424231484665634
74,38,1.084931321197566,0.5432487495648322
66,25,1.0844247020427478,0.5434620339708922
60,20,1.082348674735094,0.544336032214082
61,18,1.0819018226991461,0.5445241549294937
6,64,1.0803514017099165,0.5451768752553756
50,64,1.0803514017099165,0.5451768752553756
36,64,1.0803514017099165,0.5451768752553756
27,64,1.0803514017099165,0.5451768752553756
37,64,1.0803514017099165,0.5451768752553756
38,64,1.0803514017099165,0.5451768752553756
18,64,1.0803514017099165,0.5451768752553756
12,64,1.0803514017099165,0.5451768752553756
31,64,1.0803514017099165,0.5451768752553756
26,64,1.0803514017099165,0.5451768752553756
34,64,1.0803514017099165,0.5451768752553756
29,64,1.0803514017099165,0.5451768752553756
20,64,1.0803514017099165,0.5451768752553756
25,64,1.0803514017099165,0.5451768752553756
1,64,1.0803514017099165,0.5451768752553756
43,64,1.0803514017099165,0.5451768752553756
0,64,1.0803514017099165,0.5451768752553756
4,64,1.0803514017099165,0.5451768752553756
32,64,1.0803514017099165,0.5451768752553756
8,64,1.0803514017099165,0.5451768752553756
23,64,1.0803514017099165,0.5451768752553756
11,64,1.0803514017099165,0.5451768752553756
44,64,1.0803514017099165,0.5451768752553756
33,64,1.0803514017099165,0.5451768752553756
40,64,1.0803514017099165,0.5451768752553756
16,64,1.0803514017099165,0.5451768752553756
14,64,1.0803514017099165,0.5451768752553756
51,64,1.0803514017099165,0.5451768752553756
3,64,1.0803514017099165,0.5451768752553756
22,64,1.0803514017099165,0.5451768752553756
24,64,1.0803514017099165,0.5451768752553756
39,64,1.0803514017099165,0.5451768752553756
42,64,1.0803514017099165,0.5451768752553756
19,64,1.0803514017099165,0.5451768752553756
10,64,1.0803514017099165,0.5451768752553756
5,64,1.0803514017099165,0.5451768752553756
2,64,1.0803514017099165,0.5451768752553756
49,64,1.0803514017099165,0.5451768752553756
46,64,1.0803514017099165,0.5451768752553756
47,64,1.0803514017099165,0.5451768752553756
13,64,1.0803514017099165,0.5451768752553756
35,64,1.0803514017099165,0.5451768752553756
30,64,1.0803514017099165,0.5451768752553756
41,64,1.0803514017099165,0.5451768752553756
21,64,1.0803514017099165,0.5451768752553756
45,64,1.0803514017099165,0.5451768752553756
28,64,1.0803514017099165,0.5451768752553756
7,64,1.0803514017099165,0.5451768752553756
15,64,1.0803514017099165,0.5451768752553756
9,64,1.0803514017099165,0.5451768752553756
48,64,1.0803514017099165,0.5451768752553756
17,64,1.0803514017099165,0.5451768752553756
52,64,1.0803514017099165,0.5451768752553756
